timestamp,open,high,low,close,volume
2024-01-01,42500,43200,42000,43050,35000
2024-01-02,43050,43800,42800,43520,36000
2024-01-03,43520,44250,43300,44010,37200
2024-01-04,44010,44600,43800,44480,36500
2024-01-05,44480,45250,44200,45090,38200
2024-01-06,45090,45800,44850,45630,39500
2024-01-07,45630,46350,45400,46180,38800
2024-01-08,46180,46820,45950,46640,40100
2024-01-09,46640,47200,46350,47010,39200
2024-01-10,47010,47850,46800,47690,41000
2024-01-11,47690,48400,47250,48220,42500
2024-01-12,48220,48950,48000,48780,43200
2024-01-13,48780,49500,48550,49240,43900
2024-01-14,49240,50080,49000,49890,45500
2024-01-15,49890,50500,49600,50270,46200
2024-01-16,50270,50950,50000,50630,47000
2024-01-17,50630,51400,50300,51180,48200
2024-01-18,51180,51950,50900,51690,49000
2024-01-19,51690,52400,51450,52150,49800
2024-01-20,52150,52850,51900,52680,50500
2024-01-21,52680,53400,52450,53190,51200
2024-01-22,53190,53850,52900,53670,52000
2024-01-23,53670,54300,53450,54090,52800
2024-01-24,54090,54750,53800,54520,53600
2024-01-25,54520,55200,54200,54970,54400
2024-01-26,54970,55650,54700,55420,55200
2024-01-27,55420,56100,55150,55860,56000
2024-01-28,55860,56550,55600,56280,56800
2024-01-29,56280,57000,56000,56730,57500
2024-01-30,56730,57450,56450,57280,58300

