timestamp,open,high,low,close,volume
2025-08-11,522.3000,527.5900,519.7200,521.7700,20154527
2025-08-08,522.6000,524.6600,519.4100,522.0400,15531009
2025-08-07,526.8000,528.0900,517.5511,520.8400,16079144
2025-08-06,530.9000,531.7000,524.0300,524.9400,21355702
2025-08-05,537.1800,537.3000,527.2400,527.7500,19171569
2025-08-04,528.2700,538.2500,528.1300,535.6400,25349004
2025-08-01,535.0000,535.8000,520.8600,524.1100,28977628
2025-07-31,555.2250,555.4500,531.9000,533.5000,51617326
2025-07-30,515.1700,515.9500,509.4350,513.2400,26380434
2025-07-29,515.5300,517.6200,511.5600,512.5700,16469235
2025-07-28,514.0800,515.0000,510.1200,512.5000,14308027
2025-07-25,512.4650,518.2900,510.3592,513.7100,19125699
2025-07-24,508.7700,513.6700,507.3000,510.8800,16107000
2025-07-23,506.7500,506.7900,500.7000,505.8700,16396585
2025-07-22,510.9700,511.2000,505.2700,505.2700,13868644
2025-07-21,506.7050,512.0900,505.5500,510.0600,14066805
2025-07-18,514.4800,514.6400,507.4300,510.0500,21209666
2025-07-17,505.6800,513.3700,505.6200,511.7000,17503129
2025-07-16,505.1800,506.7200,501.8900,505.6200,15154374
2025-07-15,503.0200,508.3000,502.7900,505.8200,14927202
2025-07-14,501.5150,503.9700,501.0300,503.0200,12058848
2025-07-11,498.4700,505.0300,497.7950,503.3200,16459512
2025-07-10,503.0500,504.4400,497.7500,501.4800,16498740
2025-07-09,500.3000,506.7800,499.7400,503.5100,18659538
2025-07-08,497.2400,498.2000,494.1100,496.6200,11846586
2025-07-07,497.3800,498.7500,495.2250,497.7200,13981605
2025-07-03,493.8100,500.1300,493.4400,498.8400,13984829
2025-07-02,489.9900,493.5000,488.7000,491.0900,16319641
2025-07-01,496.4700,498.0500,490.9800,492.0500,19945375
2025-06-30,497.0400,500.7600,495.3300,497.4100,28368991
2025-06-27,497.5500,499.3000,493.0300,495.9400,34539236
2025-06-26,492.9800,498.0400,492.8100,497.4500,21578853
2025-06-25,492.0400,494.5556,489.3900,492.2700,17495099
2025-06-24,488.9500,491.8490,486.7950,490.1100,22305642
2025-06-23,478.2100,487.7500,472.5100,486.0000,24863952
2025-06-20,482.2300,483.4600,476.8700,477.4000,37576206
2025-06-18,478.0000,481.0000,474.4600,480.2400,17526452
2025-06-17,475.3950,478.7399,474.0800,478.0400,15414128
2025-06-16,475.2100,480.6943,475.0000,479.1400,15626104
2025-06-13,476.4100,479.1800,472.7600,474.9600,16814456
2025-06-12,475.0200,480.4150,473.5200,478.8700,18950582
2025-06-11,470.0200,475.4700,469.6550,472.6200,16399176
2025-06-10,471.1850,472.8000,466.9600,470.9200,15375944
2025-06-09,469.7000,473.4300,468.6200,472.7500,16469932
2025-06-06,470.0850,473.3350,468.7800,470.3800,15285624
2025-06-05,464.9550,469.6500,464.0300,467.6800,20154460
2025-06-04,464.0000,465.6900,463.0201,463.8700,14162688
2025-06-03,461.4700,464.1400,460.8622,462.9700,15743760
2025-06-02,457.1400,462.1100,456.8900,461.9700,16626495
2025-05-30,459.7150,461.6800,455.5400,460.3600,34770475
2025-05-29,461.5500,461.7200,455.3105,458.6800,13982211
2025-05-28,461.2200,462.5200,456.9300,457.3600,17086261
2025-05-27,456.4800,460.9500,456.1150,460.6900,20974293
2025-05-23,449.9800,453.6900,448.9100,450.1800,16883509
2025-05-22,454.9500,460.2500,453.9000,454.8600,18025612
2025-05-21,454.5700,457.7800,451.8140,452.5700,19216906
2025-05-20,455.5900,458.3400,454.3201,458.1700,15441808
2025-05-19,450.8750,459.5850,450.8000,458.8700,21336509
2025-05-16,452.0500,454.3600,448.7300,454.2700,23849781
2025-05-15,450.7650,456.1900,450.4301,453.1300,21992323
2025-05-14,448.1400,453.9000,448.1400,452.9400,19902796
2025-05-13,447.7800,450.6733,445.3600,449.1400,23618819
2025-05-12,445.9400,449.3700,439.7800,449.2600,22821935
2025-05-09,440.0000,440.7400,435.8800,438.7300,15324233
2025-05-08,437.9300,443.6700,435.6600,438.1700,23491330
2025-05-07,433.8400,438.1200,431.1103,433.3500,23307241
2025-05-06,432.2000,437.7300,431.1700,433.3100,15104204
2025-05-05,432.8700,439.5000,432.1100,436.1700,20136053
2025-05-02,431.7400,439.4400,429.9850,435.2800,30757434
2025-05-01,431.1100,436.9900,424.9000,425.4000,58938100
2025-04-30,390.3000,396.6600,384.4400,395.2600,36461075
2025-04-29,391.3000,395.1000,390.3800,394.0400,14973976
2025-04-28,391.9550,392.7400,386.6380,391.1600,16579430
2025-04-25,387.0000,392.1600,384.6000,391.8500,18973165
2025-04-24,375.6950,388.4500,375.1900,387.3000,22232289
2025-04-23,376.0600,380.3900,373.0200,374.3900,20545526
2025-04-22,363.3750,367.7700,359.8602,366.8200,19484993
2025-04-21,362.8150,364.4800,355.6700,359.1200,20807279
2025-04-17,373.7450,374.3215,366.8900,367.7800,21120192
2025-04-16,380.6700,381.6100,368.0000,371.6100,21967826
2025-04-15,388.5050,391.8900,384.1599,385.7300,17199890
2025-04-14,393.2200,394.6500,384.2100,387.8100,19251172
2025-04-11,380.6350,390.0500,378.8900,388.4500,23839220
2025-04-10,382.0600,383.9000,367.8000,381.3500,38024368
2025-04-09,353.5350,393.2250,353.1000,390.4900,50199696
2025-04-08,368.2550,373.6500,350.2500,354.5600,35868918
2025-04-07,350.8800,370.9999,344.7900,357.8600,50424998
2025-04-04,364.1250,374.5900,359.4800,359.8400,49209854
2025-04-03,374.7850,377.4800,369.3500,373.1100,30197997
2025-04-02,377.9650,385.0800,376.6200,382.1400,16092555
2025-04-01,374.6500,382.8500,373.2300,382.1900,19689503
2025-03-31,372.5350,377.0700,367.2400,375.3900,35184676
2025-03-28,388.0800,389.1300,376.9300,378.8000,21632016
2025-03-27,390.1300,392.2400,387.3950,390.5800,13766761
2025-03-26,395.0000,395.3100,388.5700,389.9700,16132906
2025-03-25,393.9150,396.3600,392.6400,395.1600,15774968
2025-03-24,395.4000,395.4000,389.8100,393.0800,21004548
2025-03-21,383.2150,391.7400,382.8000,391.2600,39675928
2025-03-20,385.7350,391.7850,383.2800,386.8400,18470542
2025-03-19,385.5250,389.6800,384.0000,387.8200,19185532
